name,price,day,pecentage,weekly,monthly,YTD,YOY,date,file_type
Bitcoin,100716,"-5,617.0000",-5.28,-0.6461,9.0083,136.9509,137.0011,Dec/18,csv
BTCETH,26.9686,-0.3841,-1.40,1.0243,-4.8527,44.7565,40.2446,Dec/18,csv
BTCEUR,96850.8,"-4,505.6199",-4.45,0.2750,11.1877,154.4822,150.2404,Dec/18,csv
BTCGBP,79836.2,"-3,824.7441",-4.57,0.4223,9.6880,141.9561,139.1553,Dec/18,csv
BTCAUD,161332.4,"-6,464.6307",-3.85,1.3629,14.2160,161.5842,156.6756,Dec/18,csv
BTCCAD,145008.7,"-7,153.8610",-4.70,1.0329,12.4621,160.6661,155.9665,Dec/18,csv
BTCCNY,735653,"-39,301.6453",-5.07,-0.3017,10.0788,145.8209,143.0688,Dec/18,csv
BTCJPY,15526796,"-787,504.0235",-4.83,0.4756,8.6180,162.0720,154.0473,Dec/18,csv
BTCNZD,183261.4,"-1,328.5195",-0.72,4.5557,17.3993,175.8905,170.3467,Dec/18,csv
BTCCHF,90433.7,"-4,526.9478",-4.77,0.8372,10.9631,155.8698,147.2180,Dec/18,csv
BTCMXN,2044809,"-100,793.8084",-4.70,0.1566,10.0644,187.1596,181.9506,Dec/18,csv
BTCINR,8545756,"-482,707.7476",-5.35,-0.6111,9.5946,144.5806,141.9748,Dec/18,csv
BTCBRL,631262,"-17,933.0532",-2.76,4.5699,18.3481,209.7579,205.1796,Dec/18,csv
BTCRUB,10826680,"-295,273.7265",-2.65,1.2389,16.5160,188.8362,181.6049,Dec/18,csv
BTCKRW,146462004,"-6,579,892.9850",-4.30,1.0945,13.7695,169.4009,165.0717,Dec/18,csv
BTCIDR,1632545588,"-74,418,061.2000",-4.36,0.9443,11.4547,152.4807,147.8481,Dec/18,csv
BTCTRY,3520007,"-198,946.8895",-5.35,-0.3730,10.4260,184.3209,184.9371,Dec/18,csv
BTCSAR,377487,"-22,053.8226",-5.52,-0.9109,8.8319,136.8394,136.8075,Dec/18,csv
BTCSEK,1115922,"-49,561.6487",-4.25,0.2998,10.7321,163.9226,158.5713,Dec/18,csv
BTCNGN,156280728,"-8,863,991.1200",-5.37,-0.4828,0.7618,322.3353,346.3034,Dec/18,csv
BTCPLN,413225,"-19,411.7227",-4.49,0.1798,9.4952,150.1657,147.0243,Dec/18,csv
BTCARS,102697643,"-5,814,172.2491",-5.36,-0.3634,10.9735,202.4475,200.8881,Dec/18,csv
BTCNOK,1142170,"-48,222.5875",-4.05,1.0554,12.8309,168.3153,161.8428,Dec/18,csv
BTCTWD,3283267,"-175,139.6506",-5.06,-0.3442,9.8821,154.7799,146.9495,Dec/18,csv
BTCIRR,4386695950,"-79,290,050.0000",-1.78,7.9771,15.1952,145.7244,145.1131,Dec/18,csv
Ether,3680.30,-207.1841,-5.33,-4.0014,18.1151,61.3105,68.4255,Dec/18,csv
ETHBTC,0.0370555,0.0005,1.36,-1.0799,5.0302,-30.9645,-28.7435,Dec/18,csv
ETHEUR,3536.87,-168.6692,-4.55,-3.1712,20.4021,70.0351,77.7242,Dec/18,csv
ETHGBP,2914.78,-143.8200,-4.70,-3.0535,18.7482,61.6248,69.8085,Dec/18,csv
ETHAUD,5891.38,-243.2000,-3.96,-2.1253,23.6754,74.7720,82.2858,Dec/18,csv
ETHCAD,5297.00,-265.9867,-4.78,-2.4124,21.8159,74.2151,81.8412,Dec/18,csv
ETHCNY,26869.0,"-1,462.9366",-5.16,-3.7142,19.2186,64.2717,72.6558,Dec/18,csv
ETHJPY,567054,"-29,389.0761",-4.93,-2.9716,17.6267,75.1169,80.4388,Dec/18,csv
ETHNZD,6791.27,42.7467,0.63,2.4527,29.0050,87.0602,94.8380,Dec/18,csv
ETHCHF,3303.04,-168.6732,-4.86,-2.6132,20.1777,70.9889,75.6050,Dec/18,csv
ETHMXN,74658.3,"-3,783.9800",-4.82,-3.3058,19.1608,91.8285,100.2031,Dec/18,csv
ETHINR,312126,"-17,950.6079",-5.44,-4.0130,18.6943,63.4429,71.8786,Dec/18,csv
ETHBRL,23047.1,-687.1833,-2.90,0.9505,28.1235,106.9158,116.6878,Dec/18,csv
ETHRUB,399847,"-6,766.3215",-1.66,-1.1352,27.5985,95.1709,102.2607,Dec/18,csv
ETHKRW,5347351,"-247,788.1378",-4.43,-2.4030,23.1688,79.9607,88.2131,Dec/18,csv
ETHIDR,59627201,"-2,778,580.8127",-4.45,-2.5108,20.7087,68.7222,76.0506,Dec/18,csv
ETHTRY,128565.1,"-7,398.0803",-5.44,-3.7829,19.5948,89.9999,102.3957,Dec/18,csv
ETHSAR,13787.4,-819.6634,-5.61,-4.3025,17.8681,61.1583,68.2083,Dec/18,csv
ETHSEK,40753.1,"-1,856.4028",-4.36,-3.1449,19.9118,76.3472,83.6455,Dec/18,csv
ETHNGN,5708007,"-329,605.1918",-5.46,-3.8890,9.1280,182.2288,217.0166,Dec/18,csv
ETHPLN,15091.2,-725.8047,-4.59,-3.2585,18.5750,67.1589,75.4484,Dec/18,csv
ETHARS,3750917,"-216,223.1287",-5.45,-3.7742,20.1870,102.1119,113.7247,Dec/18,csv
ETHNOK,41712.8,"-1,807.3506",-4.15,-2.4125,22.1880,79.2872,85.9741,Dec/18,csv
ETHTWD,119873.8,"-6,563.8538",-5.19,-3.7909,18.9616,70.1956,75.3473,Dec/18,csv
ETHIRR,163254155,"-20,177.2725",-0.01,7.2730,21.5129,70.3705,75.4142,Dec/18,csv
