name,price,day,pecentage,weekly,monthly,YTD,YOY,date,file_type
EURUSD,1.03518,-0.0139,-1.33,-1.3692,-2.4060,-6.1997,-5.7213,Dec/18,csv
GBPUSD,1.25721,-0.0138,-1.08,-1.4030,-0.9603,-1.2326,-1.2404,Dec/18,csv
AUDUSD,0.62169,-0.0120,-1.90,-2.3881,-4.9549,-8.7093,-8.0476,Dec/18,csv
NZDUSD,0.56575,-0.0062,-1.08,-2.1702,-3.7791,-10.5251,-9.4075,Dec/19,csv
USDJPY,154.832,1.4055,0.92,1.5671,0.0737,9.7632,7.6568,Dec/18,csv
USDCNY,7.32412,0.0361,0.50,0.6199,1.2570,2.7918,2.8394,Dec/18,csv
USDCHF,0.90111,0.0081,0.90,1.8549,2.1562,7.0838,4.6829,Dec/18,csv
USDCAD,1.44465,0.0137,0.95,2.0341,3.5176,9.0713,8.3677,Dec/18,csv
USDMXN,20.3612,0.1831,0.91,1.0983,1.2597,20.0967,19.3086,Dec/18,csv
USDINR,85.3000,0.3926,0.46,0.5657,1.0711,2.5364,2.6400,Dec/18,csv
USDBRL,6.33582,0.2305,3.78,6.3932,9.7473,30.5789,30.1658,Dec/18,csv
USDRUB,104.6750,0.0795,0.08,-0.7778,4.0812,17.2888,15.7007,Dec/18,csv
USDKRW,1450.22,10.9500,0.76,1.4729,4.0815,12.0380,11.5374,Dec/18,csv
USDTRY,35.0348,0.0602,0.17,0.5187,1.5468,18.8563,20.5183,Dec/18,csv
DXY,108.246,1.2901,1.21,1.4395,2.0221,6.7737,5.9501,Dec/18,csv
USDSEK,11.12640,0.1657,1.51,1.3758,2.0078,10.5235,9.5593,Dec/18,csv
USDPLN,4.12209,0.0534,1.31,1.3035,0.9171,4.8131,4.7173,Dec/18,csv
USDNOK,11.38510,0.1902,1.70,2.1126,3.9138,12.3334,10.9162,Dec/18,csv
USDZAR,18.3537,0.2771,1.53,3.7260,1.7413,0.3911,0.2474,Dec/18,csv
USDDKK,7.20549,0.0949,1.34,1.4179,2.4657,6.6816,6.1348,Dec/18,csv
USDSGD,1.36312,0.0132,0.98,1.3661,1.9727,3.3371,2.6291,Dec/18,csv
USDILS,3.61590,0.0168,0.47,1.0578,-3.3024,0.4194,-0.8446,Dec/18,csv
USDHKD,7.77033,0.0010,0.01,-0.0569,-0.1660,-0.4901,-0.3587,Dec/18,csv
USDCLP,994.410,11.8000,1.20,1.9699,2.3213,12.9267,15.4706,Dec/18,csv
USDPKR,278.207,0.0205,0.01,0.0204,0.0294,-0.9835,-1.5964,Dec/18,csv
USDCZK,24.2635,0.3500,1.46,1.4785,1.8110,8.5518,8.6636,Dec/18,csv
USDHUF,399.056,8.5510,2.19,2.1780,3.7482,15.0780,14.0355,Dec/18,csv
EURUSD,1.03518,-0.0139,-1.33,-1.3692,-2.4060,-6.1997,-5.7213,Dec/18,csv
GBPUSD,1.25721,-0.0138,-1.08,-1.4030,-0.9603,-1.2326,-1.2404,Dec/18,csv
USDCHF,0.90111,0.0081,0.90,1.8549,2.1562,7.0838,4.6829,Dec/18,csv
USDRUB,104.6750,0.0795,0.08,-0.7778,4.0812,17.2888,15.7007,Dec/18,csv
USDTRY,35.0419,0.0673,0.19,0.5391,1.5674,18.8804,20.5428,Dec/18,csv
USDSEK,11.12640,0.1657,1.51,1.3758,2.0078,10.5235,9.5593,Dec/18,csv
USDPLN,4.12209,0.0534,1.31,1.3035,0.9171,4.8131,4.7173,Dec/18,csv
USDNOK,11.38510,0.1902,1.70,2.1126,3.9138,12.3334,10.9162,Dec/18,csv
USDDKK,7.20549,0.0949,1.34,1.4179,2.4657,6.6816,6.1348,Dec/18,csv
USDCZK,24.2635,0.3500,1.46,1.4785,1.8110,8.5518,8.6636,Dec/18,csv
USDRON,4.80470,0.0625,1.32,1.5235,2.4063,6.6905,6.1883,Dec/18,csv
USDHUF,399.056,8.5510,2.19,2.1780,3.7482,15.0780,14.0355,Dec/18,csv
USDUAH,41.9749,0.0249,0.06,0.5386,1.6618,10.3150,12.5331,Dec/18,csv
USDBYR,3.27271,0.0066,0.20,0.2024,0.2024,-0.6795,-0.4681,Dec/18,csv
USDRSD,112.974,1.4954,1.34,1.3979,2.4438,6.4888,5.9595,Dec/18,csv
USDBAM,1.88570,0.0216,1.16,1.2348,2.1506,6.4285,5.8787,Dec/18,csv
USDISK,139.740,1.8100,1.31,0.5324,1.8736,2.8635,2.0894,Dec/18,csv
USDALL,93.719,0.5292,0.57,0.5139,1.4716,0.1059,0.4062,Dec/18,csv
USDMKD,59.3567,1.0867,1.86,1.9174,2.4274,6.9876,6.3740,Dec/18,csv
USDMDL,18.3761,0.1561,0.86,1.0786,1.6320,6.5404,5.6097,Dec/18,csv
USDBGN,1.88630,0.0220,1.18,1.2178,2.2050,6.4621,5.9419,Dec/18,csv
USDCAD,1.44465,0.0137,0.95,2.0341,3.5176,9.0713,8.3677,Dec/18,csv
USDMXN,20.3612,0.1831,0.91,1.0983,1.2597,20.0967,19.3086,Dec/18,csv
USDBRL,6.33582,0.2305,3.78,6.3932,9.7473,30.5789,30.1658,Dec/18,csv
DXY,108.246,1.2901,1.21,1.4395,2.0221,6.7737,5.9501,Dec/18,csv
USDARS,1018.429,-2.0618,-0.20,0.1619,1.6784,25.9730,26.8011,Dec/18,csv
USDCOP,4373.09,27.5600,0.63,0.8089,-0.4394,12.9242,10.7762,Dec/18,csv
USDCLP,994.410,11.8000,1.20,1.9699,2.3213,12.9267,15.4706,Dec/18,csv
USDPEN,3.73658,0.0060,0.16,0.2839,-1.5135,0.8796,1.2650,Dec/18,csv
USDCUC,24.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,Dec/17,csv
USDDOP,60.8393,0.1993,0.33,0.6774,1.2302,5.0766,6.0658,Dec/18,csv
USDGTQ,7.70352,0.0105,0.14,0.1107,-0.0840,-1.4265,-1.3634,Dec/18,csv
USDURY,44.3767,0.0167,0.04,0.7874,4.1707,13.6698,12.7743,Dec/18,csv
USDCRC,503.311,3.1006,0.62,0.5314,-0.4469,-3.0641,-3.6726,Dec/18,csv
USDPAB,1.00042,0.0004,0.04,0.0424,0.0424,0.0424,0.0424,Dec/18,csv
USDBOB,6.90992,0.0499,0.73,0.7277,0.8748,0.7277,0.8748,Dec/18,csv
USDPYG,7806.41,8.4117,0.11,-0.2692,-0.4880,7.4732,6.2386,Dec/18,csv
USDSVC,8.75054,0.0007,0.01,0.0084,0.0118,0.0084,0.0118,Dec/18,csv
USDTTD,6.79084,0.0349,0.52,0.5543,1.1293,0.6258,0.6020,Dec/18,csv
USDHNL,25.3856,0.1160,0.46,0.6582,1.3766,3.0971,3.1348,Dec/18,csv
USDJMD,156.614,1.0741,0.69,0.5354,-0.8207,1.9689,1.4997,Dec/18,csv
USDNIO,36.8027,0.2027,0.55,0.5539,0.5539,1.6650,1.6650,Dec/18,csv
USDHTG,130.806,0.5884,0.45,0.2634,0.0042,-0.3237,-0.4856,Dec/18,csv
USDBSD,1.00005,0.0001,0.00,0.0048,0.0048,0.0048,0.0048,Dec/18,csv
USDSRD,35.1235,-0.1045,-0.30,-0.8567,-1.1065,-4.3556,-5.0408,Dec/18,csv
USDGYD,208.600,-0.5000,-0.24,0.0480,-0.2868,0.2981,0.1488,Dec/18,csv
USDKYD,0.83125,0.0000,0.00,0.0000,0.0000,0.7576,0.7576,Dec/17,csv
USDVES,50.85499,0.4394,0.87,3.0454,11.2158,41.7782,42.7456,Dec/18,csv
USDJPY,154.832,1.4055,0.92,1.5671,0.0737,9.7632,7.6568,Dec/18,csv
USDCNY,7.32412,0.0361,0.50,0.6199,1.2570,2.7918,2.8394,Dec/18,csv
USDINR,85.3000,0.3926,0.46,0.5657,1.0711,2.5364,2.6400,Dec/18,csv
USDKRW,1450.22,10.9500,0.76,1.4729,4.0815,12.0380,11.5374,Dec/18,csv
USDIDR,16211.3,158.3000,0.99,1.6128,2.2563,5.3024,4.5890,Dec/18,csv
USDSAR,3.75705,-0.0004,-0.01,-0.0267,0.0783,0.1933,0.1586,Dec/18,csv
USDTWD,32.7225,0.1982,0.61,0.6831,1.1827,6.6505,4.5915,Dec/18,csv
USDIRR,42087.5,87.5000,0.21,0.2083,0.2083,0.2083,0.2083,Dec/18,csv
USDAED,3.67299,0.0000,0.00,-0.0003,0.0003,0.0188,0.0242,Dec/18,csv
USDTHB,34.5450,0.3550,1.04,2.0230,0.0724,0.5677,-0.8183,Dec/18,csv
USDMYR,4.47000,0.0035,0.08,0.8346,0.0112,-2.6144,-4.4668,Dec/18,csv
USDSGD,1.36312,0.0132,0.98,1.3661,1.9727,3.3371,2.6291,Dec/18,csv
USDILS,3.61590,0.0168,0.47,1.0578,-3.3024,0.4194,-0.8446,Dec/18,csv
USDHKD,7.77033,0.0010,0.01,-0.0569,-0.1660,-0.4901,-0.3587,Dec/18,csv
USDPHP,59.3230,0.3100,0.53,1.6606,0.7592,7.1044,6.0286,Dec/18,csv
USDPKR,278.207,0.0205,0.01,0.0204,0.0294,-0.9835,-1.5964,Dec/18,csv
USDIQD,1310.06,1.0557,0.08,0.0807,0.0807,0.0807,0.1572,Dec/18,csv
USDKZT,522.784,-1.0662,-0.20,0.2750,5.2641,15.3030,14.5250,Dec/18,csv
USDQAR,3.64607,0.0011,0.03,0.0294,0.0020,0.0431,0.1283,Dec/18,csv
USDVND,25455.0,25.0000,0.10,0.2955,0.2363,4.9258,4.5380,Dec/18,csv
USDBDT,119.5065,0.5065,0.43,0.4256,0.4256,9.1384,9.1384,Dec/18,csv
USDOMR,0.38501,0.0000,0.01,0.0000,0.0026,0.2631,0.0806,Dec/18,csv
USDAZN,1.70000,0.0050,0.29,0.2950,0.2950,0.2950,0.2950,Dec/18,csv
USDLKR,291.459,0.3091,0.11,0.5482,0.1669,-9.9879,-10.8006,Dec/18,csv
USDSYP,13005.00,0.0000,0.00,0.0000,0.0000,0.0385,0.0385,Dec/17,csv
USDMMK,2093.70,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,Dec/18,csv
USDUZS,12862.4,-2.5177,-0.02,-0.0516,0.1743,4.1669,4.0082,Dec/18,csv
USDMOP,8.00457,-0.0014,-0.02,-0.0865,-0.1641,-0.5520,-0.2670,Dec/18,csv
USDTMT,3.51000,0.0153,0.44,0.4378,0.4378,0.5731,0.5731,Dec/18,csv
USDLBP,89552.14,52.1364,0.06,0.0583,0.0583,497.0142,497.0142,Dec/18,csv
USDYER,250.375,1.2550,0.50,0.4191,0.2101,0.1580,0.1580,Dec/18,csv
USDBHD,0.37691,-0.0002,-0.06,-0.0843,-0.0207,-0.0234,-0.0234,Dec/18,csv
USDAFN,70.1472,0.0972,0.14,0.8007,2.8099,-0.5569,0.3967,Dec/18,csv
USDNPR,135.974,0.1439,0.11,0.1797,0.6767,2.1362,2.1669,Dec/18,csv
USDBND,1.35083,0.0012,0.09,0.4933,1.0118,2.4055,1.7039,Dec/18,csv
USDKHR,4021.34,10.3405,0.26,0.3829,-0.3385,-1.2198,-1.8227,Dec/18,csv
USDGEL,2.81000,0.0450,1.63,0.7168,3.3088,5.4488,5.6391,Dec/18,csv
USDKPW,130.000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,Dec/17,csv
USDMNT,3421.00,4.0000,0.12,0.0878,0.1757,-0.3205,0.3815,Dec/18,csv
USDLAK,21904.4,96.4443,0.44,0.4330,0.1346,7.0834,6.7343,Dec/18,csv
USDAMD,365.464,-28.1261,-7.15,-7.0894,-5.8010,-9.4916,-9.7197,Dec/18,csv
USDTJS,10.8903,0.0403,0.37,0.3714,2.9329,-0.3633,-0.1806,Dec/18,csv
USDKGS,87.0000,0.0000,0.00,0.2304,0.5780,-2.3408,-2.2655,Dec/18,csv
USDMVR,15.4000,-0.0200,-0.13,-0.1297,-0.1297,-0.1297,-0.1297,Dec/18,csv
USDKWD,0.30789,0.0003,0.11,0.0910,0.1464,0.2246,0.1268,Dec/18,csv
USDJOD,0.70940,-0.0005,-0.07,0.0423,0.0141,0.0847,0.0988,Dec/18,csv
AUDUSD,0.62169,-0.0120,-1.90,-2.3881,-4.9549,-8.7093,-8.0476,Dec/18,csv
NZDUSD,0.56575,-0.0062,-1.08,-2.1702,-3.7791,-10.5251,-9.4075,Dec/19,csv
USDPGK,4.05087,0.0700,1.76,4.9177,5.6456,8.5763,8.6404,Dec/18,csv
USDXPF,113.619,0.2288,0.20,0.2283,1.2014,5.4076,4.8628,Dec/18,csv
USDFJD,2.32295,0.0177,0.77,1.0945,4.1588,4.9138,3.7610,Dec/18,csv
USDNGN,1555.450,2.3600,0.15,0.4067,-7.3414,76.5490,88.7682,Dec/18,csv
USDZAR,18.3560,0.2794,1.55,3.7388,1.7538,0.4034,0.2597,Dec/18,csv
USDZMW,27.6759,-0.0481,-0.17,0.2024,0.1712,7.8268,10.4033,Dec/18,csv
USDEGP,50.6889,-0.0411,-0.08,0.1954,2.4018,64.3075,64.0417,Dec/18,csv
USDDZD,134.577,1.3200,0.99,0.8520,1.3816,0.3463,0.3072,Dec/18,csv
USDAOA,915.222,-0.0356,0.00,0.3109,-0.5292,8.6317,8.6962,Dec/18,csv
USDMAD,9.98638,-0.0063,-0.06,-0.0092,0.1140,1.2437,-0.6864,Dec/18,csv
USDSDG,601.500,2.6998,0.45,0.4509,0.4425,0.4676,0.4425,Dec/18,csv
USDKES,129.250,0.2500,0.19,0.1938,0.3883,-17.4121,-15.9623,Dec/18,csv
USDETB,124.9514,0.0000,0.00,0.3417,2.2934,123.1398,123.6086,Dec/18,csv
USDTZS,2366.24,36.2440,1.56,-2.2213,-10.7078,-5.5392,-5.7273,Dec/18,csv
USDTND,3.17210,-0.0013,-0.04,0.4705,0.9068,3.1411,2.6405,Dec/18,csv
USDLYD,4.89211,0.0111,0.23,0.5179,0.5530,2.7020,2.1253,Dec/18,csv
USDGHS,14.70014,0.0005,0.00,0.0009,-7.5463,23.5306,22.7057,Dec/18,csv
USDCDF,2845.00,0.0000,0.00,-0.4897,-0.2629,6.9549,6.4506,Dec/17,csv
USDUGX,3640.26,0.2610,0.01,-0.3934,-1.1438,-3.5692,-3.1232,Dec/18,csv
USDMZN,63.9000,0.6300,1.00,0.9957,0.9957,1.0596,1.0436,Dec/18,csv
USDBWP,13.6525,0.0655,0.48,0.8919,0.7557,2.3940,1.9840,Dec/18,csv
USDXAF,624.929,-0.2919,-0.05,0.1762,0.9677,5.1591,4.4753,Dec/18,csv
USDNAD,18.0509,-0.0557,-0.31,1.9558,0.0048,-2.5357,-2.8562,Dec/18,csv
USDSSP,3881.683,167.0057,4.50,4.4958,18.1535,267.9599,269.1258,Dec/17,csv
USDMUR,46.5800,0.2300,0.50,0.1720,0.9755,6.1773,5.8396,Dec/18,csv
USDMGA,4652.98,-33.6503,-0.72,-0.4689,0.1934,2.2970,2.2970,Dec/18,csv
USDRWF,1352.58,-13.2417,-0.97,-0.8236,-0.1787,8.0835,8.5728,Dec/18,csv
USDGNF,8640.02,52.0229,0.61,0.8406,1.0175,1.5160,1.5279,Dec/18,csv
USDMRO,39.7409,-0.0392,-0.10,0.1531,0.0273,0.9161,-0.3489,Dec/18,csv
USDSLL,22775.5,-192.2010,-0.84,-0.0708,-0.0083,0.4076,0.7674,Dec/18,csv
USDXOF,624.929,3.9293,0.63,0.7950,1.3673,6.0550,4.8099,Dec/18,csv
USDMWK,1734.007,16.9866,0.99,0.9893,0.9893,4.0358,4.0358,Dec/18,csv
USDERN,15.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,Dec/18,csv
USDSZL,18.0489,-0.0676,-0.37,2.1453,0.0902,-1.3038,-1.3383,Dec/18,csv
USDBIF,2956.13,44.1783,1.52,1.5381,1.6900,4.3366,4.3985,Dec/18,csv
USDLSL,18.0509,-0.0104,-0.06,2.1566,0.1013,-1.2604,-1.3409,Dec/18,csv
USDLRD,181.000,0.0000,0.00,0.8357,-0.5495,-4.2328,-4.2328,Dec/17,csv
USDCVE,106.3138,0.9035,0.86,0.8769,1.6904,6.4202,5.8902,Dec/18,csv
USDDJF,177.720,0.1200,0.07,0.0676,0.0676,0.0957,0.0957,Dec/18,csv
USDSCR,13.9488,-0.0794,-0.57,-1.0217,2.6705,3.7380,1.8519,Dec/18,csv
USDSOS,571.537,3.5375,0.62,0.6228,0.6228,0.6228,0.6228,Dec/18,csv
USDGMD,72.0000,0.1000,0.14,0.1391,0.6993,8.3521,7.8652,Dec/18,csv
USDKMF,466.125,-2.6350,-0.56,-0.5685,0.3931,4.7943,3.8557,Dec/18,csv
USDSTD,23.3411,-0.0077,-0.03,-0.0047,0.9673,5.1591,4.6349,Dec/18,csv
USDZIG,25.732,0.0090,0.04,0.2739,1.7706,980.8118,"1,041.0910",Dec/18,csv
