Country,GDP,GDP_Growth,Interest_Rate,Inflation_Rate,Jobless_Rate,Gov_Budget,Debt_per_GDP,Current_Account,Population,file_type
United States,27361,3.10,4.50,2.70,4.20,-6.20,122.30,-3.00,335.89,csv
China,17795,0.90,3.10,0.20,5.00,-5.80,83.40,1.50,1409.67,csv
Euro Area,15545,0.40,3.15,2.20,6.30,-3.60,87.40,1.70,350.08,csv
Germany,4456,0.10,3.15,2.20,6.10,-2.50,62.90,5.90,84.70,csv
Japan,4213,0.30,0.25,2.90,2.50,-5.50,255.20,3.60,124.30,csv
India,3550,1.10,6.50,5.48,8.00,-5.63,81.59,-1.20,1386.18,csv
United Kingdom,3340,0.10,4.75,2.60,4.30,-4.40,97.60,-3.30,68.27,csv
France,3031,0.40,3.15,1.30,7.40,-5.50,110.60,-1.00,68.14,csv
Italy,2255,0.00,3.15,1.30,5.80,-7.20,134.60,0.00,58.99,csv
Brazil,2174,0.90,12.25,4.87,6.20,-8.90,84.68,-1.42,216.28,csv
Canada,2140,0.30,3.25,1.90,6.80,-1.40,107.50,-0.60,40.80,csv
Russia,2021,-0.80,21.00,8.90,2.30,-1.90,14.90,2.50,146.40,csv
Mexico,1789,1.10,10.00,4.55,2.50,-5.00,49.70,-1.50,128.46,csv
Australia,1724,0.30,4.35,2.80,3.90,0.90,43.80,-1.60,26.97,csv
South Korea,1713,0.10,3.00,1.50,2.70,-2.60,51.50,1.30,51.71,csv
Spain,1581,0.80,3.15,2.40,11.21,-3.60,107.70,2.70,48.59,csv
Indonesia,1371,1.50,6.00,1.55,4.91,-1.65,39.30,-0.30,278.70,csv
Netherlands,1118,0.80,3.15,4.00,3.70,-0.90,46.80,9.90,17.94,csv
Turkey,1108,-0.20,50.00,47.09,8.80,-5.20,29.50,-4.00,85.37,csv
Saudi Arabia,1068,0.90,5.00,2.00,3.30,-2.00,30.00,5.90,32.18,csv
Switzerland,885,0.40,0.50,0.70,2.60,0.50,38.30,7.60,8.96,csv
Poland,811,-0.10,5.75,4.70,4.90,-5.10,49.60,1.80,36.62,csv
Taiwan,757,1.08,2.00,2.08,3.38,-0.50,28.20,11.80,23.42,csv
Australia,1724,0.30,4.35,2.80,3.90,0.90,43.80,-1.60,26.97,csv
New Zealand,253,-1.00,4.25,2.20,4.80,-2.40,39.30,-6.90,5.31,csv
Egypt,396,9.80,27.25,25.50,6.70,-7.10,95.80,-1.20,105.90,csv
South Africa,378,-0.30,7.75,2.90,32.10,-4.90,72.20,-1.60,62.20,csv
